date,date,payems,peak
1950-05-01,1950-05-01,44718,0
1950-06-01,1950-06-01,45084,0
1950-07-01,1950-07-01,45454,0
1950-08-01,1950-08-01,46188,0
1950-09-01,1950-09-01,46442,0
1950-10-01,1950-10-01,46712,0
1950-11-01,1950-11-01,46778,0
1950-12-01,1950-12-01,46855,0
1951-01-01,1951-01-01,47288,0
1951-02-01,1951-02-01,47577,0
1951-03-01,1951-03-01,47871,0
1951-04-01,1951-04-01,47856,0
1951-05-01,1951-05-01,47953,0
1951-06-01,1951-06-01,48068,0
1951-07-01,1951-07-01,48062,0
1951-08-01,1951-08-01,48009,0
1951-09-01,1951-09-01,47955,0
1951-10-01,1951-10-01,48009,0
1951-11-01,1951-11-01,48148,0
1951-12-01,1951-12-01,48309,0
1952-01-01,1952-01-01,48298,0
1952-02-01,1952-02-01,48522,0
1952-03-01,1952-03-01,48504,0
1952-04-01,1952-04-01,48616,0
1952-05-01,1952-05-01,48645,0
1952-06-01,1952-06-01,48286,0
1952-07-01,1952-07-01,48144,0
1952-08-01,1952-08-01,48923,0
1952-09-01,1952-09-01,49319,0
1952-10-01,1952-10-01,49598,0
1952-11-01,1952-11-01,49816,0
1952-12-01,1952-12-01,50164,0
1953-01-01,1953-01-01,50145,0
1953-02-01,1953-02-01,50339,0
1953-03-01,1953-03-01,50475,0
1953-04-01,1953-04-01,50432,0
1953-05-01,1953-05-01,50491,0
1953-06-01,1953-06-01,50522,0
1953-07-01,1953-07-01,50536,1
1953-08-01,1953-08-01,50487,0
1953-09-01,1953-09-01,50365,0
1953-10-01,1953-10-01,50242,0
1953-11-01,1953-11-01,49907,0
1953-12-01,1953-12-01,49702,0
1954-01-01,1954-01-01,49468,0
1954-02-01,1954-02-01,49382,0
1954-03-01,1954-03-01,49158,0
1954-04-01,1954-04-01,49178,0
1954-05-01,1954-05-01,48965,0
1954-06-01,1954-06-01,48896,0
1954-07-01,1954-07-01,48835,0
1954-08-01,1954-08-01,48825,0
1954-09-01,1954-09-01,48882,0
1954-10-01,1954-10-01,48944,0
1954-11-01,1954-11-01,49178,0
1954-12-01,1954-12-01,49331,0
1955-01-01,1955-01-01,49497,0
1955-02-01,1955-02-01,49644,0
1955-03-01,1955-03-01,49963,0
1955-04-01,1955-04-01,50247,0
1955-05-01,1955-05-01,50512,0
1955-06-01,1955-06-01,50790,0
1955-07-01,1955-07-01,50985,0
1955-08-01,1955-08-01,51111,0
1955-09-01,1955-09-01,51262,0
1955-10-01,1955-10-01,51431,0
1955-11-01,1955-11-01,51592,0
1955-12-01,1955-12-01,51805,0
1956-01-01,1956-01-01,51975,0
1956-02-01,1956-02-01,52167,0
1956-03-01,1956-03-01,52295,0
1956-04-01,1956-04-01,52375,0
1956-05-01,1956-05-01,52506,0
1956-06-01,1956-06-01,52584,0
1956-07-01,1956-07-01,51954,0
1956-08-01,1956-08-01,52630,0
1956-09-01,1956-09-01,52601,0
1956-10-01,1956-10-01,52781,0
1956-11-01,1956-11-01,52822,0
1956-12-01,1956-12-01,52930,0
1957-01-01,1957-01-01,52888,0
1957-02-01,1957-02-01,53097,0
1957-03-01,1957-03-01,53157,0
1957-04-01,1957-04-01,53238,0
1957-05-01,1957-05-01,53149,0
1957-06-01,1957-06-01,53066,0
1957-07-01,1957-07-01,53123,0
1957-08-01,1957-08-01,53126,1
1957-09-01,1957-09-01,52932,0
1957-10-01,1957-10-01,52765,0
1957-11-01,1957-11-01,52559,0
1957-12-01,1957-12-01,52385,0
1958-01-01,1958-01-01,52077,0
1958-02-01,1958-02-01,51576,0
1958-03-01,1958-03-01,51300,0
1958-04-01,1958-04-01,51027,0
1958-05-01,1958-05-01,50913,0
1958-06-01,1958-06-01,50912,0
1958-07-01,1958-07-01,51037,0
1958-08-01,1958-08-01,51231,0
1958-09-01,1958-09-01,51506,0
1958-10-01,1958-10-01,51486,0
1958-11-01,1958-11-01,51944,0
1958-12-01,1958-12-01,52088,0
1959-01-01,1959-01-01,52480,0
1959-02-01,1959-02-01,52687,0
1959-03-01,1959-03-01,53016,0
1959-04-01,1959-04-01,53320,0
1959-05-01,1959-05-01,53549,0
1959-06-01,1959-06-01,53679,0
1959-07-01,1959-07-01,53803,0
1959-08-01,1959-08-01,53334,0
1959-09-01,1959-09-01,53429,0
1959-10-01,1959-10-01,53359,0
1959-11-01,1959-11-01,53635,0
1959-12-01,1959-12-01,54175,0
1960-01-01,1960-01-01,54274,0
1960-02-01,1960-02-01,54513,0
1960-03-01,1960-03-01,54458,0
1960-04-01,1960-04-01,54812,1
1960-05-01,1960-05-01,54473,0
1960-06-01,1960-06-01,54347,0
1960-07-01,1960-07-01,54304,0
1960-08-01,1960-08-01,54271,0
1960-09-01,1960-09-01,54228,0
1960-10-01,1960-10-01,54144,0
1960-11-01,1960-11-01,53962,0
1960-12-01,1960-12-01,53744,0
1961-01-01,1961-01-01,53683,0
1961-02-01,1961-02-01,53556,0
1961-03-01,1961-03-01,53662,0
1961-04-01,1961-04-01,53626,0
