date,date,payems,peak
1999-05-01,1999-05-01,128831,0
1999-06-01,1999-06-01,129091,0
1999-07-01,1999-07-01,129417,0
1999-08-01,1999-08-01,129577,0
1999-09-01,1999-09-01,129791,0
1999-10-01,1999-10-01,130191,0
1999-11-01,1999-11-01,130484,0
1999-12-01,1999-12-01,130780,0
2000-01-01,2000-01-01,131010,0
2000-02-01,2000-02-01,131140,0
2000-03-01,2000-03-01,131608,0
2000-04-01,2000-04-01,131895,0
2000-05-01,2000-05-01,132122,0
2000-06-01,2000-06-01,132075,0
2000-07-01,2000-07-01,132251,0
2000-08-01,2000-08-01,132241,0
2000-09-01,2000-09-01,132377,0
2000-10-01,2000-10-01,132363,0
2000-11-01,2000-11-01,132589,0
2000-12-01,2000-12-01,132731,0
2001-01-01,2001-01-01,132705,0
2001-02-01,2001-02-01,132777,0
2001-03-01,2001-03-01,132752,1
2001-04-01,2001-04-01,132471,0
2001-05-01,2001-05-01,132433,0
2001-06-01,2001-06-01,132302,0
2001-07-01,2001-07-01,132190,0
2001-08-01,2001-08-01,132033,0
2001-09-01,2001-09-01,131793,0
2001-10-01,2001-10-01,131468,0
2001-11-01,2001-11-01,131175,0
2001-12-01,2001-12-01,131005,0
2002-01-01,2002-01-01,130867,0
2002-02-01,2002-02-01,130733,0
2002-03-01,2002-03-01,130713,0
2002-04-01,2002-04-01,130634,0
2002-05-01,2002-05-01,130627,0
2002-06-01,2002-06-01,130684,0
2002-07-01,2002-07-01,130599,0
2002-08-01,2002-08-01,130585,0
2002-09-01,2002-09-01,130526,0
2002-10-01,2002-10-01,130652,0
2002-11-01,2002-11-01,130662,0
2002-12-01,2002-12-01,130505,0
2003-01-01,2003-01-01,130597,0
2003-02-01,2003-02-01,130447,0
2003-03-01,2003-03-01,130238,0
2003-04-01,2003-04-01,130194,0
2003-05-01,2003-05-01,130186,0
2003-06-01,2003-06-01,130195,0
2003-07-01,2003-07-01,130219,0
2003-08-01,2003-08-01,130177,0
2003-09-01,2003-09-01,130281,0
2003-10-01,2003-10-01,130479,0
2003-11-01,2003-11-01,130496,0
2003-12-01,2003-12-01,130618,0
2004-01-01,2004-01-01,130780,0
2004-02-01,2004-02-01,130826,0
2004-03-01,2004-03-01,131158,0
2004-04-01,2004-04-01,131407,0
2004-05-01,2004-05-01,131715,0
2004-06-01,2004-06-01,131791,0
2004-07-01,2004-07-01,131835,0
2004-08-01,2004-08-01,131956,0
2004-09-01,2004-09-01,132120,0
2004-10-01,2004-10-01,132466,0
2004-11-01,2004-11-01,132530,0
2004-12-01,2004-12-01,132660,0
2005-01-01,2005-01-01,132794,0
2005-02-01,2005-02-01,133033,0
2005-03-01,2005-03-01,133169,0
2005-04-01,2005-04-01,133534,0
2005-05-01,2005-05-01,133708,0
2005-06-01,2005-06-01,133955,0
2005-07-01,2005-07-01,134331,0
2005-08-01,2005-08-01,134525,0
2005-09-01,2005-09-01,134593,0
2005-10-01,2005-10-01,134678,0
2005-11-01,2005-11-01,135015,0
2005-12-01,2005-12-01,135174,0
2006-01-01,2006-01-01,135452,0
2006-02-01,2006-02-01,135768,0
2006-03-01,2006-03-01,136049,0
2006-04-01,2006-04-01,136232,0
2006-05-01,2006-05-01,136255,0
2006-06-01,2006-06-01,136337,0
2006-07-01,2006-07-01,136544,0
2006-08-01,2006-08-01,136725,0
2006-09-01,2006-09-01,136883,0
2006-10-01,2006-10-01,136887,0
2006-11-01,2006-11-01,137095,0
2006-12-01,2006-12-01,137266,0
2007-01-01,2007-01-01,137506,0
2007-02-01,2007-02-01,137596,0
2007-03-01,2007-03-01,137785,0
2007-04-01,2007-04-01,137864,0
2007-05-01,2007-05-01,138007,0
2007-06-01,2007-06-01,138085,0
2007-07-01,2007-07-01,138052,0
2007-08-01,2007-08-01,138028,0
2007-09-01,2007-09-01,138116,0
2007-10-01,2007-10-01,138201,0
2007-11-01,2007-11-01,138316,0
2007-12-01,2007-12-01,138413,1
2008-01-01,2008-01-01,138432,0
2008-02-01,2008-02-01,138346,0
2008-03-01,2008-03-01,138268,0
2008-04-01,2008-04-01,138058,0
2008-05-01,2008-05-01,137873,0
2008-06-01,2008-06-01,137708,0
2008-07-01,2008-07-01,137499,0
2008-08-01,2008-08-01,137233,0
2008-09-01,2008-09-01,136781,0
2008-10-01,2008-10-01,136308,0
2008-11-01,2008-11-01,135539,0
2008-12-01,2008-12-01,134844,0
2009-01-01,2009-01-01,134053,0
2009-02-01,2009-02-01,133350,0
2009-03-01,2009-03-01,132527,0
2009-04-01,2009-04-01,131841,0
2009-05-01,2009-05-01,131490,0
2009-06-01,2009-06-01,131020,0
2009-07-01,2009-07-01,130691,0
2009-08-01,2009-08-01,130479,0
2009-09-01,2009-09-01,130260,0
2009-10-01,2009-10-01,130060,0
2009-11-01,2009-11-01,130053,0
2009-12-01,2009-12-01,129774,0
2010-01-01,2010-01-01,129802,0
2010-02-01,2010-02-01,129733,0
2010-03-01,2010-03-01,129896,0
2010-04-01,2010-04-01,130139,0
2010-05-01,2010-05-01,130661,0
2010-06-01,2010-06-01,130528,0
2010-07-01,2010-07-01,130458,0
2010-08-01,2010-08-01,130424,0
2010-09-01,2010-09-01,130372,0
2010-10-01,2010-10-01,130629,0
2010-11-01,2010-11-01,130752,0
2010-12-01,2010-12-01,130840,0
2011-01-01,2011-01-01,130882,0
2011-02-01,2011-02-01,131070,0
2011-03-01,2011-03-01,131295,0
2011-04-01,2011-04-01,131641,0
2011-05-01,2011-05-01,131714,0
2011-06-01,2011-06-01,131949,0
2011-07-01,2011-07-01,132019,0
2011-08-01,2011-08-01,132126,0
2011-09-01,2011-09-01,132372,0
2011-10-01,2011-10-01,132574,0
2011-11-01,2011-11-01,132720,0
2011-12-01,2011-12-01,132927,0
2012-01-01,2012-01-01,133265,0
2012-02-01,2012-02-01,133522,0
2012-03-01,2012-03-01,133761,0
2012-04-01,2012-04-01,133836,0
2012-05-01,2012-05-01,133951,0
2012-06-01,2012-06-01,134038,0
2012-07-01,2012-07-01,134181,0
2012-08-01,2012-08-01,134371,0
2012-09-01,2012-09-01,134552,0
2012-10-01,2012-10-01,134684,0
2012-11-01,2012-11-01,134833,0
2012-12-01,2012-12-01,135076,0
2013-01-01,2013-01-01,135266,0
2013-02-01,2013-02-01,135577,0
2013-03-01,2013-03-01,135712,0
2013-04-01,2013-04-01,135904,0
2013-05-01,2013-05-01,136122,0
2013-06-01,2013-06-01,136268,0
2013-07-01,2013-07-01,136408,0
2013-08-01,2013-08-01,136677,0
2013-09-01,2013-09-01,136862,0
2013-10-01,2013-10-01,137051,0
2013-11-01,2013-11-01,137342,0
2013-12-01,2013-12-01,137387,0
2014-01-01,2014-01-01,137574,0
2014-02-01,2014-02-01,137742,0
2014-03-01,2014-03-01,138014,0
2014-04-01,2014-04-01,138324,0
2014-05-01,2014-05-01,138537,0
2014-06-01,2014-06-01,138843,0
2014-07-01,2014-07-01,139075,0
2014-08-01,2014-08-01,139293,0
2014-09-01,2014-09-01,139579,0
2014-10-01,2014-10-01,139779,0
2014-11-01,2014-11-01,140110,0
2014-12-01,2014-12-01,140402,0
2015-01-01,2015-01-01,140623,0
2015-02-01,2015-02-01,140888,0
2015-03-01,2015-03-01,140972,0
2015-04-01,2015-04-01,141223,0
2015-05-01,2015-05-01,141496,0
2015-06-01,2015-06-01,141724,0
2015-07-01,2015-07-01,142001,0
2015-08-01,2015-08-01,142151,0
2015-09-01,2015-09-01,142300,0
2015-10-01,2015-10-01,142595,0
2015-11-01,2015-11-01,142875,0
2015-12-01,2015-12-01,143146,0
2016-01-01,2016-01-01,143314,0
2016-02-01,2016-02-01,143547,0
2016-03-01,2016-03-01,143733,0
2016-04-01,2016-04-01,143877,0
2016-05-01,2016-05-01,143901,0
2016-06-01,2016-06-01,144172,0
2016-07-01,2016-07-01,144424,0
2016-08-01,2016-08-01,144600,0
2016-09-01,2016-09-01,144791,0
2016-10-01,2016-10-01,144952,0
